course,reviews,tokens,sentiment_scores,label,entropy_values
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",super!,['super'],[0.07499999999999998],5,[0.9959386076315955]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",fair,['fair'],[0.0735294117647059],3,[0.9960964590537512]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",useless product,"['useless', 'product']",[-0.5],1,[0.8112781244591328]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",fair,['fair'],[0.0735294117647059],3,[0.9960964590537512]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",highly recommended,"['highly', 'recommended']","[0.5, 0.25]",5,"[0.8112781244591328, 0.954434002924965]"
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",unsatisfactory,['unsatisfactory'],[-0.5],1,[0.8112781244591328]
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",worth the money,"['worth', 'money']",[0.2],4,[0.9709505944546686]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",great product,"['great', 'product']",[0.25],5,[0.954434002924965]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",mind-blowing purchase,"['mindblowing', 'purchase']",[0.025],5,[0.9995491108252483]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",highly recommended,"['highly', 'recommended']","[0.5, 0.25]",5,"[0.8112781244591328, 0.954434002924965]"
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",brilliant,['brilliant'],[0.375],5,[0.8960382325345574]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",classy product,"['classy', 'product']",[0.375],5,[0.8960382325345574]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",must buy!,['buy'],[0.1875],5,[0.9744894033980523]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",fabulous!,['fabulous'],[0.16666666666666666],5,[0.9798687566511528]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",worth every penny,"['worth', 'penny']",[0.2],5,[0.9709505944546686]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",super!,['super'],[0.07499999999999998],5,[0.9959386076315955]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",great product,"['great', 'product']",[0.25],5,[0.954434002924965]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",worth every penny,"['worth', 'penny']",[0.2],5,[0.9709505944546686]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",just wow!,['wow'],[0.125],5,[0.9886994082884974]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific purchase,"['terrific', 'purchase']","[0.04166666666666663, 0.025]",5,"[0.9987472979361685, 0.9995491108252483]"
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",worth every penny,"['worth', 'penny']",[0.2],5,[0.9709505944546686]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific,['terrific'],[0.04166666666666663],5,[0.9987472979361685]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",simply awesome,"['simply', 'awesome']","[0.25, 0.75]",5,"[0.954434002924965, 0.5435644431995964]"
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],4,[0.5435644431995964]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific,['terrific'],[0.04166666666666663],5,[0.9987472979361685]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",expected a better product,"['expected', 'better', 'product']","[-0.017857142857142863, 0.5291800000000001]",2,"[0.9997699662429029, 0.787323583326851]"
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",excellent,['excellent'],[1.0],5,[0.0]
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",terrific purchase,"['terrific', 'purchase']","[0.04166666666666663, 0.025]",5,"[0.9987472979361685, 0.9995491108252483]"
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",wonderful,['wonderful'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality', 'product']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",excellent,['excellent'],[1.0],5,[0.0]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",great product,"['great', 'product']",[0.25],5,[0.954434002924965]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",highly recommended,"['highly', 'recommended']","[0.5, 0.25]",5,"[0.8112781244591328, 0.954434002924965]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",awesome,['awesome'],[0.75],5,[0.5435644431995964]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",decent product,"['decent', 'product']",[0.39285714285714285],3,[0.885612871398971]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",fabulous!,['fabulous'],[0.16666666666666666],5,[0.9798687566511528]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",very satisfactory,['satisfactory'],[0.25],3,[0.954434002924965]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good quality product,"['good', 'quality', 'product']","[0.5648148148148148, 0.35714285714285715]",4,"[0.7557472208646809, 0.9059282160429991]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",mind-blowing purchase,"['mindblowing', 'purchase']",[0.025],5,[0.9995491108252483]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",waste of money!,"['waste', 'money']",[-0.0234375],1,[0.9996037156868482]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",must buy!,['buy'],[0.1875],5,[0.9744894033980523]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",good not best,"['good', 'best']","[0.5648148148148148, 0.48451162790697677]",4,"[0.7557472208646809, 0.8233232038953151]"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",must buy!,['buy'],[0.1875],5,[0.9744894033980523]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",does the job,['job'],[-0.08088235294117647],4,[0.9952758181852421]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",nice,['nice'],[0.47916666666666663],3,[0.8273744775003173]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",worth the money,"['worth', 'money']",[0.2],4,[0.9709505944546686]
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",pretty good,"['pretty', 'good']","[-0.08333333333333337, 0.5648148148148148]",4,"[0.99498482818597, 0.7557472208646809]"
